"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-1182",1.90359008884988,0.2226830675345,0.149866023166569,1.48588094105225,0.13731061565311,0.779067322854523
"hsa-miR-1183",8.77023728450168,0.183187915435956,0.247202959429243,0.741042566233474,0.458667631563467,0.911730214791225
"hsa-miR-1184",4.30491082487423,-0.16844653253439,0.152560457599009,-1.10412970166317,0.269536878693289,0.893125237514716
"hsa-miR-1185-5p",2.18186187018475,-0.157782811511845,0.155155279914196,-1.01693485132509,0.309184422655738,0.90367583733211
"hsa-miR-1193",2.35676517290855,-0.187870766628803,0.152948941269814,-1.22832342001887,0.219325582663498,0.860062519455433
"hsa-miR-1197",4.54683301896745,0.107163381220782,0.15148904481831,0.707400204082808,0.479317810134188,0.911730214791225
"hsa-miR-1200",1.5394171961188,-0.117210594906325,0.153011107335153,-0.766026708437505,0.443660410437608,0.911730214791225
"hsa-miR-1202",2.14181526970092,0.0638480016196498,0.147446016020088,0.433026292219053,0.66499566900109,0.928503896743213
"hsa-miR-1203",1.4299588903501,-0.130650358513331,0.159288849079165,-0.820210324003274,0.412096217535239,0.911730214791225
"hsa-miR-1204",1.63491991089469,0.0556939864880766,0.152887267553472,0.364281390983704,0.715647894480665,0.942035572061092
"hsa-miR-1205",1.46512823230999,-0.130794191493804,0.154432805829058,-0.846932688891117,0.397032640841468,0.911730214791225
"hsa-miR-1206",15.4664074698069,0.0624354687358368,0.117948209102742,0.529346475124947,0.596565121196876,0.911730214791225
"hsa-miR-1207-3p",1.7431498564415,0.153085330170319,0.145798798509465,1.04997662350682,0.293728860560284,0.897914960809412
"hsa-miR-1208",2.22386045554939,0.108621873186907,0.157865914677838,0.688064129667097,0.491412397852643,0.911730214791225
"hsa-miR-122-5p",4.42562463246291,-0.450704937834042,0.181666342889432,-2.48094903362675,0.0131033107126331,0.432615189741607
"hsa-miR-1224-3p",2.15748466437871,0.120898371957837,0.165046055617966,0.732512943161044,0.463855545636431,0.911730214791225
"hsa-miR-1224-5p",5.47353704008762,0.297202295651472,0.151836379439329,1.95738529032977,0.0503021865963616,0.638757925033163
"hsa-miR-1225-3p",2.03982956181921,-0.0256577893635178,0.158986773930287,-0.161383168733069,0.871791622315313,0.987147952163427
"hsa-miR-1225-5p",1.49317842301681,-0.0935223070960403,0.154018230033046,-0.607215828126153,0.543707689404116,0.911730214791225
"hsa-miR-1226-3p",25.9386519441571,-0.0585470675539525,0.178412184244599,-0.32815621759154,0.742793549731746,0.944729475016529
"hsa-miR-1227",4.2313101763418,0.139863117847268,0.194768338051764,0.718099868008816,0.472695711554123,0.911730214791225
"hsa-miR-1228-3p",4.97176514571033,-0.0634154800387148,0.177553949495142,-0.357161754041692,0.720970715962642,0.943840943805629
"hsa-miR-1229",6.16640849110986,-0.0571569343396034,0.162107223525181,-0.352587214170163,0.724397924370821,0.943840943805629
"hsa-miR-1231",1.85518388118237,0.0734718045790485,0.158271634781925,0.464213342335675,0.642494902940239,0.924734487328867
"hsa-miR-1233",4.15861814565586,-0.165368886282665,0.162196873988911,-1.01955655627476,0.307938817660886,0.90367583733211
"hsa-miR-1234",6.7092574440628,-0.100371138267935,0.149747443278956,-0.67026946217011,0.502686030495827,0.911730214791225
"hsa-miR-1236",1.60038667860615,0.00865746803665265,0.154773160219162,0.0559364945730482,0.955392397864115,0.991108791263898
"hsa-miR-1237",2.01727929268663,-0.100159898397765,0.148992590496585,-0.672247512872532,0.501426137938583,0.911730214791225
"hsa-miR-1238",2.42746262164046,-0.417543209499824,0.168775340604103,-2.47395862455557,0.0133625171310103,0.432615189741607
"hsa-miR-124-3p",5.12703761468777,0.236143281321202,0.152400647579347,1.54949001248997,0.121263970574311,0.765365210516158
"hsa-miR-1243",5.76811742107362,-0.210846692867059,0.18107686201018,-1.16440438897823,0.244260169778946,0.892274592799802
"hsa-miR-1244",2.5750084426219,0.0895818611309104,0.1650253781883,0.542836878269077,0.58724211942628,0.911730214791225
"hsa-miR-1245a",1.81656945005639,0.0996570623316162,0.149634557696289,0.666002986648903,0.505409191397593,0.911730214791225
"hsa-miR-1245b-3p",1.43605360858467,-0.120058400082091,0.155723042392958,-0.770973892091902,0.440722406758346,0.911730214791225
"hsa-miR-1245b-5p",1.51288610307062,-0.154117400800912,0.153925423399984,-1.00124721047821,0.316707307410417,0.911730214791225
"hsa-miR-1246",43.4985766761332,0.6679149146232,0.354016084778514,1.88667957005703,0.0592034371656486,0.685783243462924
"hsa-miR-1247-5p",2.43752978088672,0.0721028877346487,0.157189021476589,0.458701804091246,0.646448318336732,0.924734487328867
"hsa-miR-1248",1.50533869826593,0.000115375098694646,0.153020036178829,0.000753986873717705,0.999398405571413,0.999398405571413
"hsa-miR-1249",3.64414127860347,-0.256890039089347,0.169514340522139,-1.51544723766776,0.129659182455343,0.779067322854523
"hsa-miR-1250",3.17507316632074,-0.0140817749774523,0.160183828992873,-0.087910090962296,0.929948136230533,0.991108791263898
"hsa-miR-1251",1.52655167565992,-0.134004190549886,0.152081459832,-0.881134299328248,0.378245134623253,0.911730214791225
"hsa-miR-1252",2.47095319605386,0.562549722674435,0.158158464305266,3.55687395641779,0.00037529410842048,0.0600470573472768
"hsa-miR-1253",10.3511802633223,0.0241363946920824,0.264177691632574,0.0913642425404037,0.927203173199975,0.991108791263898
"hsa-miR-1254",3.73280248475213,0.303344076435497,0.159329824704605,1.90387504033154,0.0569264604921494,0.679718931249545
"hsa-miR-1255a",13.2895778192431,0.0380498546099865,0.16510191747747,0.230462826788059,0.817732145995747,0.966615304994302
"hsa-miR-1255b-5p",8.24957473169622,0.0445491007855322,0.162732719643429,0.273756260468981,0.784271938998633,0.959067904896038
