"","HD2.log2FoldChange","HD2.padj","WT2.log2FoldChange","WT2.padj","HD6.log2FoldChange","HD6.padj","WT6.log2FoldChange","WT6.padj","HD10.log2FoldChange","HD10.padj","WT10.log2FoldChange","WT10.padj"
"Gpcpd1",-0.092768830383224,0.0317067717573857,-0.00283638150205804,0.921366581611471,-0.0202360421738066,0.247773040796323,-0.0613082378022613,0.134424674571694,-0.0804455038194854,0.0267206546358429,-2.41132878550521e-06,0.999483774084771
"Gpr34",-0.000249762188217485,0.999899773256004,-0.00186856913420138,0.921366581611471,-0.118284939241928,0.024825404088237,-0.0256560656682764,0.435700071681341,-0.309693614845192,7.15383253644916e-11,-0.000508284323735743,0.930016618558548
"Gramd4",0.0688387140885696,0.0362589151427014,0.00477076655602352,0.840922244257827,0.0858672656607782,0.0206523162187982,0.0301642552512654,0.405936688685634,0.103755943132968,0.00259650512970657,-2.59129213465143e-05,0.997636213866355
"Gstz1",-7.51194976708474e-05,0.999899773256004,-0.00350162852534005,0.921366581611471,-0.0120559915604829,0.346947553229714,-0.0972540482322012,0.0217182210778553,-0.0356757254816841,0.117780738827962,-1.05640438587312e-06,0.999594612593216
"H2aw",3.87833337743995e-05,0.999899773256004,0.000468597347174674,0.954798545886223,0.00184616555053487,0.997778888080173,0.217279276772237,0.0094301677724575,0.0327356469829507,0.195483843242056,5.91995985376204e-05,0.997636213866355
"H2bc6",-0.000135374480661407,0.999899773256004,-0.000625649970193136,0.921366581611471,0.0020083512952737,0.985580029719528,0.598503264542977,0.000199247126408076,0.0674114370381959,0.0925148301369723,4.13018358806403e-06,0.997636213866355
"H2-Q6",-0.381264171375668,0.0034611642055798,-0.00192121714290141,0.921366581611471,-0.00163876922107736,0.997778888080173,-0.0543996866856653,0.130796601103086,-0.131547739572015,0.0305251159656123,-0.00160977976973883,0.910112620584105
"H2-Q7",-0.0463621988735381,0.178459337789763,-0.00157697764756641,0.921366581611471,-0.00510714021293176,0.708971283531756,-0.015454515786278,0.494326323321357,-0.27518866263689,0.00272395355569477,-0.0168839736416861,0.451461951752979
"H3c14",0.000690165027474938,0.999899773256004,0.000274886991706789,0.948502083176022,0.00435005251472434,0.742474412787711,0.355717430967967,0.012917869721614,0.0105472574710906,0.495603879597563,0.000168646276741873,0.997636213866355
"Haus1",-9.10390225542488e-05,0.999899773256004,-0.000810790268081799,0.928599087887968,0.000370760089870407,0.997778888080173,-0.178944904968618,0.0173602892229335,-0.0151571316307864,0.433659295315636,7.64668141845861e-05,0.997636213866355
"Hcn3",-3.02110504018651e-06,0.999899773256004,0.00104990339547437,0.921366581611471,0.00150471141719064,0.997778888080173,0.115003068561446,0.0494774202182066,0.00353701060760392,0.892588214321047,2.82255533936707e-05,0.997636213866355
"Hexim1",0.00240018112022377,0.641885755591442,0.0015497423086275,0.921366581611471,0.00556122945066511,0.663517978442243,0.042614697871539,0.231812426605084,0.104878369728348,0.0149415895715428,-4.66826940097577e-05,0.997636213866355
"Hkdc1",-0.00261890365887608,0.716554968560064,-0.00188353691565195,0.921366581611471,-0.222066448909253,0.000191695125523566,-0.333097288312479,0.000885202268173665,-0.0819161338225144,0.0558342276285254,-0.0943031240579905,0.0846615863505
"Hnrnpm",0.000333686920180351,0.971803000390355,0.00141161622333741,0.928740064975786,0.00644737154782656,0.606055851730443,0.0409053908314934,0.232801759437083,0.0657988105228085,0.0130171299896258,8.09426583903857e-05,0.997636213866355
"Hrh3",-9.55169528215259e-05,0.999899773256004,-0.00138932950582433,0.921366581611471,-0.143643383007777,0.0137642443774571,-0.114778029525888,0.0561632354421836,-0.0157570057192676,0.409124704508956,-0.000103856208745222,0.997636213866355
"Hsd17b7",0.0110443127758124,0.300987839023348,0.00205991165656712,0.921366581611471,0.0547586763767519,0.0985168370573448,0.0255680336437977,0.455424058416783,0.0893251233711816,0.0267206546358429,2.03019231289207e-05,0.997636213866355
"Hsp90b1",0.000373081711913977,0.999899773256004,-0.000107457369543383,0.990156716691264,0.00989595102120574,0.45677834525216,0.162451313764212,0.0121709194008279,0.0212618647830501,0.312507655839991,-4.19989961185802e-06,0.997636213866355
"Hspa5",0.00248078251738627,0.796192719874932,0.000449425717979052,0.943654874434904,0.00276690729995594,0.895474679580252,0.322025726377936,0.00671082635978039,0.0150611666582043,0.408925690517065,3.02240738133121e-05,0.997636213866355
"Hspa8",0.00126265532099176,0.772260145809186,0.000456021463570421,0.961850452084808,0.00421214085492186,0.742612538586294,0.147060882120898,0.0158731516320735,0.0337768979518756,0.169121357663049,1.75442903236377e-05,0.997636213866355
